ticker,dt,open,high,low,close,adj_close,volume,ema_9,ema_21,sma_50,macd,macd_signal,macd_hist,retorno_log,rsi_14,stoch_k,stoch_d,roc_10,vol_ratio,volatilidad_20,atr_14,bb_upper,bb_mid,bb_lower,bb_width,sent_pos,sent_neg,sent_neu,retorno_3d,target
DIS,2025-05-09,0.1269477543538038,0.10929224843524299,0.13480507280413434,0.18124150430448527,0.16085887499600826,0.15545157326270134,0.0,0.0,0.0038919984600069846,0.5558746062691431,0.23051367735209552,0.8994724453995537,0.7206428558814004,0.8818672882677062,0.9861202641186613,0.9788438681974321,0.8076092748209308,0.11899205973489609,0.9663118961799242,0.9177809578386568,0.0,0.0,0.03761015453336247,0.6755508468665092,0.1362,0.309,0.5548,1.9633610299747657,1
DIS,2025-05-12,0.33822181484876257,0.3379874819451132,0.3179896665100985,0.38740371545083807,0.3661440490472909,0.3546921451206365,0.10316785012365814,0.05517479908332179,0.0011626640931208243,0.6779716949406557,0.33458265970473067,0.9753481642909143,1.0,0.9621571714468266,0.9829134366645246,0.9946987215691003,0.9541197269829166,0.2788515902945432,1.0,1.0,0.1612305907319973,0.040502242588595916,0.014060023335839,0.7980027426679202,0.1863846153846154,0.08141538461538461,0.7321923076923077,0.21318133682177898,1
DIS,2025-05-13,0.35563703024747895,0.39865190178141585,0.3879755753875065,0.42772995015858584,0.4063006062486023,0.24688702312712504,0.19280937937202847,0.10831644102412197,0.0,0.7780181911646046,0.4423144737565343,0.9998951582966187,0.7227047807953177,0.9760353727895769,0.9719400974560298,0.9999999999999999,0.9433780790817281,0.18428247827189348,0.9879876227301747,0.9635910615475934,0.30150075928842224,0.0827765452698328,0.003797232635936787,0.8867618585307238,0.1863846153846154,0.08141538461538461,0.7321923076923077,0.22653478241343938,1
DIS,2025-05-14,0.4074243813015581,0.45690900337024587,0.41991545326444335,0.4984141368373356,0.47668292148875313,0.27894031879898773,0.2769794637416183,0.16185485580042114,0.00324055308329374,0.8661513782877487,0.5500619319851545,0.9999999999999998,0.7706650004345909,1.0,0.982908195468489,0.9988445646216868,0.9999999999999999,0.20138656566750446,0.9829422024156043,0.9412559381394491,0.434563039838622,0.12696527430860005,0.0,0.9599489525971459,0.1863846153846154,0.08141538461538461,0.7321923076923077,-0.0264983683742116,0
DIS,2025-05-16,0.4321723189734188,0.45835339431872946,0.4476279943635513,0.5201631173538743,0.49834182567957797,0.16858952934051383,0.3974183556992381,0.25418806578742226,0.012228398383107741,0.970043151990241,0.74153030404094,0.8921346159315156,0.7440031372180764,0.9777822769653374,0.9999999999999999,0.9991268792689703,0.9563935008585444,0.11761047643049226,0.9109292598058492,0.8094657106137692,0.6240868231180627,0.21882350758164337,0.036612397993504686,1.0,0.1863846153846154,0.08141538461538461,0.7321923076923077,-0.2679848047965595,0
DIS,2025-05-19,0.44133822181484916,0.4366875300914783,0.4701737905119776,0.48572723153602126,0.46405160183744876,0.07431941718539142,0.43843104638298236,0.29352719934710203,0.018124087422068502,0.992869604563768,0.8204365305526744,0.8067163330948985,0.6025377448957504,0.9298441034301116,0.9712483931890978,0.9949326513351991,0.9474029401425093,0.044277749987232926,0.9036902646978902,0.7230332107864307,0.6892777340464287,0.26416716294906806,0.0691810359547882,0.9850774236403834,0.1863846153846154,0.08141538461538461,0.7321923076923077,-0.14875943692985272,0
DIS,2025-05-20,0.456003666361136,0.45642753972075134,0.4659464537341478,0.47213411871318556,0.4505170675631902,0.05480849695047635,0.4688457419009655,0.3282847349810165,0.025776111212913122,1.0,0.8853059810276809,0.712646857472746,0.6355989353144462,0.9103410219161848,0.9560085726689278,0.9950658235742356,0.9359972982720524,0.029557077659821254,0.9128559389740629,0.6734774748973585,0.7433846602100553,0.30572963430585487,0.10192024406677147,0.9651262577041462,0.1863846153846154,0.08141538461538461,0.7321923076923077,-0.2643857393100506,0
DIS,2025-05-21,0.4216315307057741,0.4126143476167554,0.3870361672146547,0.3860444041685547,0.36479378880287516,0.14822418962081366,0.478005463098226,0.3535151731242614,0.036132708777238065,0.9792205940092734,0.9321178072119012,0.5916310883551478,0.5183523946633599,0.789553389705765,0.8809644114369669,0.9522467106338368,0.5500188525888055,0.11157530783447793,0.9601667250391108,0.6409529435626152,0.7742745624819252,0.3423875078561385,0.13939860578467478,0.9283726478049033,0.1863846153846154,0.08141538461538461,0.7321923076923077,0.23499105903537632,1
DIS,2025-05-22,0.34326306141154905,0.37939335580163736,0.3799906059182723,0.4164023561395558,0.3950195468417137,0.0917596266689451,0.49068285187748373,0.3786970325831862,0.04633265598798664,0.9617572168650294,0.9652948088020801,0.5002553481990422,0.7065985138708732,0.8077982149088035,0.9074247462774827,0.929288266202494,0.4801396962877963,0.06446499532378581,0.9411439637938563,0.6173007341748676,0.8078184061692957,0.3758018299983634,0.17080756125393481,0.9017985285195709,0.1863846153846154,0.08141538461538461,0.7321923076923077,0.04455222587909358,1
DIS,2025-05-23,0.3258478460128318,0.30958112662493953,0.32362611554720555,0.35251472587222477,0.33140677958370013,0.09634333590496844,0.4895660341278587,0.39686462684164603,0.056928439217244886,0.9269019714978647,0.9833089861981696,0.39863949872215987,0.553278857383504,0.7196965260301514,0.8395661053110709,0.8874019427840605,0.41962024817648813,0.06821821295025661,0.9664526336655581,0.5612977458887983,0.8236898544077214,0.40655838192581895,0.20738666471869593,0.8607008269742578,0.1863846153846154,0.08141538461538461,0.7321923076923077,0.31311768754301506,1
